ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0210,key_18807,"4f8e3b8d-3033-4fa5-b366-6791c085abfa
4c0e4293-405a-4d2d-9161-da16aeb501cc
3165a82c-7bca-45d7-9ec9-536ec2f6c601",,arts non définis,,,
http://data.europa.eu/esco/isced-f/0211,key_18808,"401d3996-e957-42ef-a04f-6b17a1dc3100
363eda62-95ae-45ed-a2b0-f9c14f7cabb9
96ae781d-132a-49ec-a5ac-9f8258783868",,techniques audiovisuelles et production multimédia,,,
http://data.europa.eu/esco/isced-f/0212,key_18809,"d7bbb05e-7f8a-40a3-9ce3-0c268d6dc6a3
4c833b2e-591a-49c2-b949-8d9d7c612137
4010f888-2ad7-4ce0-99ff-2caae80e3c26",,"stylisme, décoration et design industriel",,,
http://data.europa.eu/esco/isced-f/0213,key_18810,"4e7b8450-58fc-4f9e-b237-4d8a550ba5b9
6e75f66c-0ae2-4ec3-8966-370c8eb66758
81df29d9-77d2-4b2b-865e-38b37bf74d9f",,beaux-arts,,,
http://data.europa.eu/esco/isced-f/0214,key_18811,"1759d10b-ce58-45ac-8e95-19aced3a75b2
9731c0eb-7e92-4064-b1f5-d4f8e476721b
7c30f37e-8d2f-464c-b263-56f39bc70102",,artisanat,,,
http://data.europa.eu/esco/isced-f/0215,key_18812,"7034b82e-4336-4dd4-b869-fa19e417f909
098fea29-f054-447e-ad15-368c69b0a9a9
0b31c254-fc13-4632-98c9-9dae94e3e2f9",,"musique, théâtre, danse, cirque",,,
http://data.europa.eu/esco/isced-f/0219,key_18813,"7549b0f4-3df9-4f4c-9465-a3aa3b5e21fa
2e1b3991-a85d-4504-9388-9ec23bf496ef
f36d7203-3bc9-4cf0-9355-e9fbb2701332",,arts non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/022,key_18814,"9a69cdf2-2d98-44b5-82f8-4500cab413db
2046d816-724c-4aac-8cb4-29bf282208cb
32df66bb-ae49-4c6a-8980-53b037fc4bc5",,lettres (à l’exception des langues),,,
http://data.europa.eu/esco/isced-f/0220,key_18815,"4860601b-9dd4-4440-bfd8-a894bdd2a956
460909bf-34c6-4887-bd20-67a69163863d
a3959b86-7f6c-468b-b9a0-4dcaf60bc11f",,lettres (à l’exception des langues) non définis,,,
http://data.europa.eu/esco/isced-f/0221,key_18816,"2731a9a3-45e8-400e-abf0-e1bdbe7cb191
dd1cb4e3-1283-4ceb-96c5-161f6efe683c
a6a84677-6453-4416-9248-43ce06f41dd1",,religion et théologie,,,
