ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION
http://data.europa.eu/esco/isco/C0,key_18163,"6a6b6ff4-96d0-4b9a-a408-a1cdcc22e7aa
48f67ae1-c2e7-4d4a-a5de-bee87ad29512
a022b2c3-d61f-4cfc-a972-ed2c411acbbf",0,Professions militaires,,
http://data.europa.eu/esco/isco/C01,key_18164,"68ebeb7c-b34a-4df9-96b0-e8b9b6d48c4f
f0355c43-63f6-465e-b9f9-890b8a350a4e
aed1aad2-3650-46ff-b368-7ff212b5e27e",01,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C011,key_18165,"66ef85b2-cced-495c-aba9-4338d2ea2530
e16e184d-c4d1-4e74-9a80-b1f8c97eedf6
87f69026-f3f6-4b38-b581-c5e69d374d5c",011,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C0110,key_18166,"4b217535-7496-4631-bcc9-c1c9c0de2cd5
16b0b529-1d9f-450c-b680-f8e06f2d8b88
3dcf1593-d1b4-43ac-a6ad-8ac56a54a372",0110,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C02,key_18167,"b9cfe2aa-d9f5-4e40-bb2d-aa1749bf4009
575e00d1-c650-49bf-8358-5801a0384f18
1c4682e7-f514-4913-b2c5-5c5e3e9756ba",02,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C021,key_18168,"8b4d947c-a313-484a-b18d-3a88d63fb37e
27b7441f-b710-4119-942c-95feff9706f3
6f12b9a7-a004-49c8-a2bc-9c3cc6a458ca",021,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C0210,key_18169,"61f563bd-bc03-4ff0-8e35-a197a5dbfc6c
8fc5065e-2edf-4c5b-93a1-ebaa598a25ee
b62248ba-3316-48e6-95f3-e211f5f9d31d",0210,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C03,key_18170,"6308f144-73e8-4a51-864a-f47ee125449e
36484169-46f8-4133-9dd8-b8685c433231
580bee07-2ada-4b7d-83ca-7b8a48804b37",03,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C031,key_18171,"150414d8-93c5-42f4-8e06-96474976feba
fe9c692e-8bac-4d05-9fe6-0d67a0b6b96f
99428841-5aa7-431d-a3c0-c6882552f5ea",031,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C0310,key_18172,"beaf1739-4619-4d2d-ac26-d6cfb570806c
9f8906c3-c58c-4ac0-bc69-7a5b6ae9fb92
a9ff6a48-149a-49b7-99bc-b2f308826882",0310,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C1,key_18173,"e142d4f4-d69f-4bcf-b4f9-50f6be8754a8
ab7d13dc-e8b5-488d-8f34-83c85cdea389
cf50c272-bb01-4172-83e1-3120cad57fcb",1,"Directeurs, cadres de direction et gérants",,
http://data.europa.eu/esco/isco/C11,key_18174,"06a1215c-6548-42c8-8ada-648d2b323464
cfec4e75-4ca8-40d6-a1ef-a65eb5b59f2b
c9b4bf11-0073-4ae1-86b8-a5a25cc7f79c",11,"Directeurs généraux, cadres supérieurs et membres de l’exécutif et des corps législatifs",,
http://data.europa.eu/esco/isco/C111,key_18175,"741bad4e-5091-4fef-a6f8-0cd7e78c22fd
bd0915e2-9c23-46fc-9b49-2c12f71a0df6
dfa034e8-38f8-40de-bc94-d4c4ac8fcb5e",111,Membres des corps législatifs et cadres supérieurs de l’administration publique,,
http://data.europa.eu/esco/isco/C1111,key_18176,"cefb468e-1018-4781-b5fa-2e862e56f323
3b0626eb-2d9b-44e2-b432-862952d70002
b61e3d20-2229-4f0e-ad35-b365e3564bb2",1111,Membres des corps législatifs,,
http://data.europa.eu/esco/isco/C1112,key_18177,"96fa8099-9c45-4b45-8533-223119c8c43a
35f10f2f-b909-4510-85cf-3298d302aad4
2e68695d-b59a-45a5-86cb-7662d2a74116",1112,Cadres supérieurs de l’administration publique,,
http://data.europa.eu/esco/isco/C1113,key_18178,"8331676b-38e5-4f7c-8575-bbf9c1a57601
24790dbf-6282-46ac-b5ef-262d9ef501ff
e0f4d999-85d0-41dc-8570-f2c99a281bae",1113,Chefs traditionnels et chefs de village,,
http://data.europa.eu/esco/isco/C1114,key_18179,"692d3b1c-9820-44b2-84a2-988ca7cc47f3
1a3d6b21-ca0d-4b3e-b611-3c6db1e6574c
5aa2f5c7-ecd1-4513-9353-4df1841a389c",1114,Dirigeants et cadres supérieurs d’organisations spécialisées,,
http://data.europa.eu/esco/isco/C112,key_18180,"fada9a43-a7ae-41d0-9fb2-d43643d5dac4
bc917685-78be-4f03-ba46-3da8c83e984b
997f2bab-6809-4d15-8c44-12d8397558ab",112,Directeurs généraux d’entreprise,,
http://data.europa.eu/esco/isco/C1120,key_18181,"9efce500-4e53-4664-a9ac-bf614821170e
974765ac-da29-4fb0-a341-44b77d5102e1
caf0cb38-3fe2-4e25-8383-5dd29d59efb5",1120,Directeurs généraux d’entreprise,,
http://data.europa.eu/esco/isco/C12,key_18182,"4ee04e88-55bb-48c2-925f-e8a4035f2323
11574d24-92bf-4553-a1fe-1b656238cf49
a6ac6aa9-bf62-4b45-9987-52cd6b13c322",12,Directeurs de services administratifs et commerciaux,,
http://data.europa.eu/esco/isco/C121,key_18183,"76aa5278-e2e8-46dd-b369-99fc24b0b74b
3adba212-c884-4710-99f7-ab4b8cfbb63d
b0ae29f5-8edb-4847-9085-2d9a97124220",121,Directeurs de services administratifs,,
http://data.europa.eu/esco/isco/C1211,key_18184,"4329b0c2-0209-4e92-8121-e26f2fb42257
da628b71-2327-4bfb-9a12-9e8e23b4449d
fd5ad12e-96e2-4601-849c-ad68d8ba73f9",1211,"Directeurs et cadres de direction, services financiers",,
http://data.europa.eu/esco/isco/C1212,key_18185,"b3727e9c-e7bb-4350-87f0-6b86e48c47c9
7af63533-d82a-4a89-b071-ddf855b91da6
3d01a7eb-2b7d-4bd3-bfaf-8a51aaea4be3",1212,"Directeurs et cadres de direction, ressources humaines",,
http://data.europa.eu/esco/isco/C1213,key_18186,"5ffb3e22-8f8d-44d0-8339-b1f3f1d6a031
4d71e615-584b-4006-90c2-df06060a7d48
039b0f0f-bb59-4503-a64a-4d6f1bd404c1",1213,"Directeurs et cadres de direction, stratégie et planifications",,
http://data.europa.eu/esco/isco/C1219,key_18187,"21940fb0-9be8-43f9-820f-8f475002b774
9d6acfce-a45f-4755-a956-9fa788b5a5b8
46d32d1e-4475-4cbb-9392-7d29892f1275",1219,Directeurs des services administratifs non classés ailleurs,,
http://data.europa.eu/esco/isco/C122,key_18188,"d63358a3-e1cb-4422-914d-45d1ea6a0285
bc004d8a-0ceb-4344-ac59-1f80ece145b7
6f2a1db9-9a53-442e-a08d-7588497e08e5",122,"Directeurs et cadres de direction, ventes, commercialisation et développement",,
http://data.europa.eu/esco/isco/C1221,key_18189,"cc1e092e-2b90-4a6b-8f01-997b97e55597
51b77cb1-30a8-4e83-b565-0d850988648c
7fe95dd8-f730-45b7-840a-0402cabed37f",1221,"Directeurs et cadres de direction, ventes et commercialisation",,
http://data.europa.eu/esco/isco/C1222,key_18190,"e31e4adc-ce3e-420e-b007-fba248cf024a
84f9a111-00d5-49e4-92bc-3c6d0b198e79
0d3167b0-b6d2-4d8a-9ebe-9b3102265919",1222,"Directeurs et cadres de direction, publicité et relations publiques",,
http://data.europa.eu/esco/isco/C1223,key_18191,"5d1756e0-5c6c-4296-91ea-9c1795ceb5d5
75f6d6fb-8f70-42b3-bd0c-f1426a5e5408
0a0d3bf3-5d56-4e27-886e-d92ea4ce61dc",1223,"Directeurs et cadres de direction, recherche-développement",,
http://data.europa.eu/esco/isco/C13,key_18192,"135df04b-b9e8-4531-be8e-23caf3bc2619
974d1430-ec33-43c1-bf5e-8a2bcd6beb1e
fb21b2d1-9344-4566-8dd7-0b9fe50419bc",13,"Directeurs et cadres de direction, production et services spécialisés",,
http://data.europa.eu/esco/isco/C131,key_18193,"b5f48e8c-86ed-40d1-b031-6c3fd7ef4d16
170687e8-5d68-4ceb-b8c7-15f18c11e524
342b36fc-4833-465a-b557-c467d13b1ce5",131,"Directeurs et cadres de direction, agriculture, sylviculture et pêche",,
http://data.europa.eu/esco/isco/C1311,key_18194,"be0ef6bc-c121-45cf-a24e-c02f05dcc12f
0ce96e64-8b8f-43d4-8ff7-7e00f71d9730
7889b3e6-d2ae-427e-8415-8711ba6ca4e8",1311,"Directeurs et cadres de direction, agriculture et sylviculture",,
http://data.europa.eu/esco/isco/C1312,key_18195,"f7a8c4a2-6f3d-4439-a290-be60dac756f9
c21cd5e0-1ee7-4be0-9a08-f95ab15a9d78
92f93f31-6a7b-4f99-b245-371495da11e3",1312,"Directeurs et cadres de direction, aquaculture et pêche",,
http://data.europa.eu/esco/isco/C132,key_18196,"2b83d40a-7fa6-4699-86fe-e75944a1485f
eccc4c13-e416-45ac-9dfe-063e323d09a4
263058ee-71ab-4c0a-9505-2c4be4f97a87",132,"Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution",,
http://data.europa.eu/esco/isco/C1321,key_18197,"1008cc74-2b9c-4935-ab4c-0951b90a2218
f64773ff-0a76-41b3-88de-8e04c3f2c6b3
1225bb6a-4176-4105-af9e-35a113a14744",1321,"Directeurs et cadres de direction, industrie manufacturière",,
http://data.europa.eu/esco/isco/C1322,key_18198,"3d145da9-fa20-4512-a06d-621c1dfa1d7e
b992276c-8c0b-4523-b421-ef1b33c5c1c2
eff7d9fc-a338-4d69-b012-3b653983eaa9",1322,"Directeurs et cadres de direction, mines",,
http://data.europa.eu/esco/isco/C1323,key_18199,"818648b2-0480-42d9-8564-09cc25543766
98c2d2f8-4ac5-442e-83f7-556443615de7
373db5d6-f0c0-400a-871b-1a10749a67c4",1323,"Directeurs et cadres de direction, bâtiment",,
http://data.europa.eu/esco/isco/C1324,key_18200,"7b818007-4912-448d-88c0-9357b198afc2
d450b30c-4e06-45d7-8f81-86ed1fba4fee
12c4a364-9666-4c9d-9c28-bbcf4f1a91a6",1324,"Directeurs et cadres de direction, approvisionnement, distribution et assimilés",,
http://data.europa.eu/esco/isco/C133,key_18201,"d64cf669-656f-4db9-8ac0-383d2987158f
be16418d-fff0-464f-be78-db2522829f38
49ab2e45-4ac9-477d-999e-ec175a6f716c",133,"Directeurs et cadres de direction, technologies de l’information et des communications",,
http://data.europa.eu/esco/isco/C1330,key_18202,"bac967ae-78ff-4e56-b3fb-1a93c28f80ea
0e97bb47-fece-4952-9ae4-1a4c149b65d3
77129a51-d9ae-45ac-899f-22f55190c91b",1330,"Directeurs et cadres de direction, technologies de l’information et des communications",,
http://data.europa.eu/esco/isco/C134,key_18203,"58762834-4f82-4ad5-83e3-a45154193057
7e499535-3a89-4cdb-a537-f47199ba7a67
79d5026e-629b-4815-bca8-64b09713a632",134,"Cadres de direction, services spécialisés",,
http://data.europa.eu/esco/isco/C1341,key_18204,"16d7a0e6-b0bc-4878-96ca-e99625ff4c79
48c1832e-00fc-41c1-ab1e-5af4e9585cc8
57f1661c-ef16-42a7-8d36-3e2cde0ca5bb",1341,"Cadres de direction, garde d’enfants",,
