conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cc0a45a7-4883-4122-af11-7ca6c45a37c2,concevoir un système d’enveloppe du bâtiment,released,skill/competence,sector-specific," ","Concevoir un système d’enveloppe dans le cadre d’un système énergétique complet du bâtiment, en tenant compte de concepts d’économies d’énergie.
	",http://data.europa.eu/esco/skill/883eab8c-d8a6-4e8b-9b11-7d9001e172ab,concevoir des systèmes et des produits
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ce689fb5-2c21-4f96-a4b0-d02d4af35923,concevoir des mesures en matière d’énergie passive,released,skill/competence,sector-specific," ","Concevoir des systèmes qui permettent d’atteindre la performance énergétique grâce à des mesures passives (c’est-à-dire la lumière naturelle et la ventilation, le contrôle de l’entrée de chaleur par insolation), sont moins exposés aux défaillances et n’entraînent aucun coût ou exigence d’entretien. Compléter les mesures passives par autant de mesures actives que nécessaire.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,concevoir des systèmes ou équipements électriques ou électroniques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cf2005ee-c788-4283-81d9-b443dfdf2c2e,types de bois,released,knowledge,cross-sector," ","Les types de bois, tels que le bouleau, le pin, le peuplier, l’acajou, l’érable et le tulipier.",http://data.europa.eu/esco/isced-f/0722,"matériaux (verre, papier, plastique et bois)"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cfbe1cdb-1738-45a1-b442-75cbda1fff06,gérer des décharges minières,released,skill/competence,cross-sector," ",Élaborer et mettre en place une gestion sûre et efficace des déchets et des décharges. Réduire au minimum l’empreinte écologique de l’opération et respecter les exigences légales.,http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,élaborer des politiques et procédures opérationnelles
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatologie,released,knowledge,cross-sector," ",Le domaine d’étude scientifique qui traite de la recherche sur les conditions météorologiques moyennes sur une période donnée et de la manière dont ils ont une incidence sur la nature sur Terre.,http://data.europa.eu/esco/isced-f/0532,sciences de la terre
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d0fc1d32-c64d-4b53-923f-953f648715ab,services de covoiturage,released,knowledge,occupation-specific," ","Les services encourageant le partage de trajets en voiture afin de réduire les frais de déplacement et de promouvoir la durabilité.
   ",http://data.europa.eu/esco/isced-f/1041,services de transport
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d10030a4-f49c-4125-8646-6b091efe5089,surveiller le bien-être d’animaux,released,skill/competence,cross-sector," ","Surveiller l’état physique et le comportement des animaux et signaler tout problème ou tout changement inattendu, notamment les signes de santé ou de problèmes de santé, l’aspect, l’état de l’hébergement des animaux, l’alimentation et la consommation d’eau ainsi que les conditions environnementales.",http://data.europa.eu/esco/skill/c5ff50d7-97d3-401e-90ac-e5ae756a52de,surveiller les conditions sanitaires des êtres humains et des animaux
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d13f1685-9848-4c9e-a40a-686ddb407858,réglementation sur le désamiantage,released,knowledge,cross-sector," ","La législation et les règlements relatifs à l’élimination de la contamination par l’amiante des bâtiments ou des structures, à l’élimination en toute sécurité des matériaux contaminés et à la réglementation visant à éviter et à prévenir la contamination.",http://data.europa.eu/esco/isced-f/1022,santé et sécurité au travail
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d168d98c-b7bb-4b9a-b1dc-eac008af4df3,exécuter des plans d’action en faveur de la biodiversité,released,skill/competence,sector-specific," ","Promouvoir et exécuter des plans d’action en faveur de la biodiversité au niveau local et national, en partenariat avec les organisations réglementaires et bénévoles locales/nationales.",http://data.europa.eu/esco/skill/a6c3bda0-c759-495e-b2c5-062b3abe2097,mettre en œuvre de nouvelles procédures ou de nouveaux processus
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ee1caa-1956-48f6-a009-318204bf908e,modéliser des nappes phréatiques,released,skill/competence,occupation-specific," ",Modéliser des nappes phréatiques; analyser les caractéristiques et la température des nappes phréatiques; identifier les formations géologiques et l’influence de l’homme.,http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af | http://data.europa.eu/esco/skill/2db2667c-bbaf-4e30-8640-c9a647bd2512,analyser et évaluer des informations et des données | effectuer une analyse de l’eau
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d2c3fe66-d01a-473e-a7b1-cb463a617f86,hydrographie,released,knowledge,sector-specific," ","La discipline scientifique, qui consiste à étudier et à mesurer les caractéristiques physiques des masses d’eau telles que les océans, les lacs et les cours d’eau. Elle étudie la situation actuelle à des fins de navigation et prévoit le changement dans le temps.",http://data.europa.eu/esco/isced-f/0532,sciences de la terre
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d2c81ad1-2439-43cf-9c63-204187b8f771,limiter le gaspillage de ressources,released,skill/competence,cross-sector," ",Évaluer et identifier les diverses façons d’utiliser les ressources de manière plus efficace en s’efforçant de réduire les déchets de services publics.,http://data.europa.eu/esco/skill/cbe1b24e-00f3-4b17-94e9-1fcd34a11c3e | http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821,identifier des opportunités | évaluer l’incidence environnementale du comportement personnel
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d2fd219f-5cb1-4f67-8db5-be6c5fc865c7,faire fonctionner des systèmes d’extraction d’hydrogène,released,skill/competence,cross-sector," ",Faire fonctionner l’équipement utilisé pour l’extraction et le traitement de l’hydrogène.,http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"exploiter des équipements ou systèmes de traitement de pétrole, de produits chimiques ou d’eau"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d3672a07-6a5b-49f4-bdd3-fcd539594556,biodiesel,released,knowledge,occupation-specific,biogazole,Gazole à base d’huile végétale ou de graisse animale obtenu par des lipides réagissant avec des alcools.,http://data.europa.eu/esco/isced-f/0531,chimie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d3a8ef9c-8572-438c-91dc-010537070be3,gérer l’incidence sur l’environnement,released,skill/competence,cross-sector,gérer les répercussions sur l’environnement,"Mettre en œuvre des mesures visant à réduire les incidences biologiques, chimiques et physiques de l’activité minière sur l’environnement.",http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,se conformer aux lois et aux normes en matière de protection de l’environnement
