conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,knowledge,transversal,arabe,released,,La langue arabe.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,maîtriser des langues | Langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34085657-5d64-4a68-abef-e5b7df3b3d46,skill/competence,transversal,comprendre le catalan écrit,released,,Lire et comprendre des textes écrits en catalan.,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,catalan
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/347d33a8-3698-4549-a7de-722a0216ee40,skill/competence,transversal,comprendre le néerlandais parlé,released,,Comprendre le néerlandais exprimé oralement.,http://data.europa.eu/esco/skill/cad4f44b-28a8-4448-86e5-7389e5ebf3eb,néerlandais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,knowledge,transversal,ukrainien,released,,La langue parlée en Ukraine.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Langues | maîtriser des langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/37992d18-8d7e-4122-ad52-fa5d2d52ebde,skill/competence,transversal,comprendre l'ourdou écrit,released,,Lire et comprendre les textes écrits en ourdou.,http://data.europa.eu/esco/skill/bc546a09-1103-4184-b757-3508ef5f8490,ourdou
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be,skill/competence,transversal,écrire en anglais,released,,Rédiger des textes en anglais.,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,anglais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39a7d447-5a30-41b1-967d-bdcde3288c9e,skill/competence,transversal,écrire en slovaque,released,,Rédiger des textes en slovaque.,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,slovaque
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,knowledge,transversal,japonais,released,,La langue parlée au Japon.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,maîtriser des langues | Langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a0814b1-5851-43f9-b886-1e496fefcf9c,skill/competence,transversal,comprendre le finnois écrit,released,,Lire et comprendre des textes rédigés en finnois.,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,finnois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a660148-e0d6-4b07-b107-10200ebb1b23,skill/competence,transversal,écrire en azéri,released,,Rédiger des textes en azéri.,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,azéri
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c98d1d7-52cd-44e7-8083-c02a981e3872,skill/competence,transversal,interagir verbalement en géorgien,released,s'exprimer oralement en géorgien,Communiquer oralement en géorgien.,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,géorgien
