ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/00,key_18782,"5d86fb81-deb0-43e6-a4ee-95f941687cdd
5c5bdafe-3e3e-4b08-aba7-05f975080dfd",,programmes et certifications génériques,,,
http://data.europa.eu/esco/isced-f/000,key_18783,"7cd36154-e7a5-44fa-82d1-377e9ea38833
81698b1c-2323-4057-9a53-dc9b55c84070",,programmes et certifications génériques non définis,,,
http://data.europa.eu/esco/isced-f/0000,key_18784,"b832aab9-9216-43ae-95a9-0e6134932dbf
76140d51-e9e1-4e41-8009-f4a8825a14fa",,programmes et certifications génériques non définis,,,
http://data.europa.eu/esco/isced-f/001,key_18785,"d7b9b8f2-7382-4845-a8c0-b2d5a1bd877d
1ce7dd89-520c-4696-9272-789471b91adf",,programmes et certifications de base,,,
http://data.europa.eu/esco/isced-f/0011,key_18786,"5ae2bb8e-9392-4a1e-bb9d-41bd27afff5c
7a0ee221-b7f9-4de5-bdf7-efa1362e07bc",,programmes et certifications de base,,,
http://data.europa.eu/esco/isced-f/002,key_18787,"812de5cb-11b6-43b8-9132-fe0e922ffa16
0e62a8ba-0bcd-4ef4-9a09-efa4d581be34",,compétences en lecture et en calcul,,,
http://data.europa.eu/esco/isced-f/0021,key_18788,"a0dec186-37f4-4d1c-a026-6de37e097230
46e7933c-7c66-4cc4-bebc-e38900fdbb60",,alphabétisation et apprentissage du calcul,,,
http://data.europa.eu/esco/isced-f/003,key_18789,"88926095-146a-4849-882e-a5a9498eabe3
a1b17da1-9ac3-4955-862c-3287c65d5e4a",,compétences personnelles,,,
http://data.europa.eu/esco/isced-f/0031,key_18790,"d553bfee-3eb1-49c4-a899-edd427b527de
c3ce1b7b-e769-4ee8-9cf1-a16aabae13fd",,compétences et développement personnels,,,
http://data.europa.eu/esco/isced-f/009,key_18791,"c37e5ae0-4ba0-477d-9d94-8279b91c0ca7
fbb03dd0-63bb-4b49-8eb6-1309c64a7f18",,programmes et certifications génériques non classé ailleurs,,,
http://data.europa.eu/esco/isced-f/0099,key_18792,"b18adba4-aada-4182-9786-f80225849b19
f57cec58-5b81-44fc-9324-541848d91dc2",,programmes et certifications génériques non classé ailleurs,,,
http://data.europa.eu/esco/isced-f/01,key_18793,"2f4a95d5-fbbd-417b-8b78-e9c3c73c932a
a5f13512-a021-4c3d-be3b-ed7c9f66111b",,éducation,,,
http://data.europa.eu/esco/isced-f/011,key_18794,"c7489235-c9db-4218-b9ce-861f26fb0812
45ff4845-43ea-4a54-93a6-0176241bad74",,éducation,,,
http://data.europa.eu/esco/isced-f/0110,key_18795,"24c35265-17af-4776-8f44-3f2f0fb534f2
aa4971cf-72c5-4a0a-ad64-c1876b496ac4",,éducation non définie,,,
http://data.europa.eu/esco/isced-f/0111,key_18796,"5df04a7b-3cb3-460c-9be9-ef93cfec0b1e
a5060df3-1939-41ee-9b87-f0205a4d36e8",,sciences de l’éducation,,,
http://data.europa.eu/esco/isced-f/0112,key_18797,"9ebba053-d7ee-47c9-8b43-109d5ddfe7ab
29545193-9cf6-4872-8261-a5b4b232ac07",,formation des enseignants au niveau préscolaire,,,
http://data.europa.eu/esco/isced-f/0113,key_18798,"b376c541-559b-4374-920d-39cc2536355f
2fdb1532-b780-40b8-9f51-b157f4aac9a9",,formation des enseignants sans spécialisation,,,
http://data.europa.eu/esco/isced-f/0114,key_18799,"4c271d42-ecfc-4ec4-943c-2825efac5ccb
52a7ffb9-e7d6-4b17-a3ff-748b6284b5f9",,formation des enseignants avec spécialisation,,,
http://data.europa.eu/esco/isced-f/0119,key_18800,"c8dcabdb-6715-42dc-b10a-71824e97628f
23140be1-34ef-4e2b-b5a5-48acff88aca0",,éducation non classée ailleurs,,,
http://data.europa.eu/esco/isced-f/018,key_18801,"f2bb38f4-9594-4d23-8711-9a6f51e4adb2
3ef4542e-1b7d-4c37-9125-0d45d0b0fe0d",,programmes interdisciplinaires et certifications impliquant l'éducation,,,
http://data.europa.eu/esco/isced-f/0188,key_18802,"282a16cf-26b5-4a50-87fb-c59038bb5b49
1782b030-303d-43db-9ca2-14dbbfd3a780",,programmes interdisciplinaires et certifications impliquant l'éducation,,,
http://data.europa.eu/esco/isced-f/02,key_18803,"94c34651-f1ce-4ed9-8954-30a3d3f47df5
8cd87fa3-1ac2-4e2f-b682-62f10c2f07d0",,lettres et arts,,,
http://data.europa.eu/esco/isced-f/020,key_18804,"69041cfd-00d2-49f5-90d5-a02fe6eee25a
6761a2f0-23d5-4cdc-a003-053d5dbe15da",,lettres et arts non définis,,,
http://data.europa.eu/esco/isced-f/0200,key_18805,"2bd4e452-2f96-40ab-94e9-0852853d520a
70091ead-90ab-4750-a62e-75da40f2556a",,lettres et arts non définis,,,
http://data.europa.eu/esco/isced-f/021,key_18806,"0550dfd1-e626-4ca5-861f-232684b04321
b171798e-d87b-4ea6-bfd8-35e0c53e9f4d",,arts,,,
http://data.europa.eu/esco/isced-f/0210,key_18807,"e22b5a4a-6190-4686-b5b0-f9594323af61
3165a82c-7bca-45d7-9ec9-536ec2f6c601",,arts non définis,,,
http://data.europa.eu/esco/isced-f/0211,key_18808,"5a1351fc-f6e2-45a4-a644-dd8f15b1c39c
96ae781d-132a-49ec-a5ac-9f8258783868",,techniques audiovisuelles et production multimédia,,,
http://data.europa.eu/esco/isced-f/0212,key_18809,"c5af97af-a7b4-420e-ab1b-251e9258c014
4010f888-2ad7-4ce0-99ff-2caae80e3c26",,"stylisme, décoration et design industriel",,,
http://data.europa.eu/esco/isced-f/0213,key_18810,"6b77f43a-f828-476a-82b5-41804f10fa48
81df29d9-77d2-4b2b-865e-38b37bf74d9f",,beaux-arts,,,
http://data.europa.eu/esco/isced-f/0214,key_18811,"39fd8c3c-68a2-442b-b71b-9c4d85bc18b0
7c30f37e-8d2f-464c-b263-56f39bc70102",,artisanat,,,
