ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION
http://data.europa.eu/esco/isco/C131,key_18193,"de522043-2ae8-4a76-895b-d3e1f02c78a4
342b36fc-4833-465a-b557-c467d13b1ce5",131,"Directeurs et cadres de direction, agriculture, sylviculture et pêche",,
http://data.europa.eu/esco/isco/C1311,key_18194,"caca3822-11d8-4575-a616-0258762cb6cc
7889b3e6-d2ae-427e-8415-8711ba6ca4e8",1311,"Directeurs et cadres de direction, agriculture et sylviculture",,
http://data.europa.eu/esco/isco/C1312,key_18195,"90052561-5b51-4038-bd40-201a132b98a8
92f93f31-6a7b-4f99-b245-371495da11e3",1312,"Directeurs et cadres de direction, aquaculture et pêche",,
http://data.europa.eu/esco/isco/C132,key_18196,"7a4aebc2-62b3-4d62-8b2c-23177679b719
263058ee-71ab-4c0a-9505-2c4be4f97a87",132,"Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution",,
http://data.europa.eu/esco/isco/C1321,key_18197,"ed560743-174f-4cd3-a69e-0e8ff9893e24
1225bb6a-4176-4105-af9e-35a113a14744",1321,"Directeurs et cadres de direction, industrie manufacturière",,
http://data.europa.eu/esco/isco/C1322,key_18198,"db6235ea-d4ac-4413-bbcd-21b8747fd258
eff7d9fc-a338-4d69-b012-3b653983eaa9",1322,"Directeurs et cadres de direction, mines",,
http://data.europa.eu/esco/isco/C1323,key_18199,"2a1216e0-07db-4b66-a179-76babbf4f94c
373db5d6-f0c0-400a-871b-1a10749a67c4",1323,"Directeurs et cadres de direction, bâtiment",,
http://data.europa.eu/esco/isco/C1324,key_18200,"c37d3870-cb76-45e9-ae16-6d116e2b98a7
12c4a364-9666-4c9d-9c28-bbcf4f1a91a6",1324,"Directeurs et cadres de direction, approvisionnement, distribution et assimilés",,
http://data.europa.eu/esco/isco/C133,key_18201,"ad805502-94cb-4b15-8c1f-6aeb95801d67
49ab2e45-4ac9-477d-999e-ec175a6f716c",133,"Directeurs et cadres de direction, technologies de l’information et des communications",,
http://data.europa.eu/esco/isco/C1330,key_18202,"9daac34c-2ce3-4fa2-91d1-409bff031993
77129a51-d9ae-45ac-899f-22f55190c91b",1330,"Directeurs et cadres de direction, technologies de l’information et des communications",,
