ORIGINURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,key_19436,"4207ffdc-724d-42bf-824e-bec575fde2f0
5c1ed2d0-d81a-4fd9-a54c-2a49d8a19f4e",skill/competence,sector-specific,intervenir dans la rue dans le cadre de l’action sociale,,"Mener des activités de sensibilisation en offrant des services d’information ou de conseil directs aux personnes dans leur quartier ou dans la rue, habituellement à l’intention des jeunes ou des sans-abri.",,
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,key_19437,"0fb61975-6eb1-45d9-b41c-fa5e5538b643
e1214a69-c760-46b8-8bba-5af03dff9fc8",skill/competence,sector-specific,travailler avec des solistes,,Communiquer avec les artistes solistes et les maîtres de concert pour discuter et se préparer aux spectacles.,,
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,key_19438,"6c1a48ca-d800-45d5-acd0-f32318440987
8124eab7-0844-4b22-a896-d7019004a7fb",knowledge,cross-sector,médecine sportive,médecine du sport,La prévention et le traitement des blessures ou problèmes de santé résultant d’une activité physique ou d’un sport.,,
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,key_19439,"e5a4f1be-8f56-467f-ad28-17f73dd19c88
d22cd313-5f5d-42ec-abf9-b93b5995e680",skill/competence,sector-specific,mener des recherches sur la flore,,"Recueillir et analyser des données sur les plantes afin de découvrir leurs aspects fondamentaux, tels que l’origine, l’anatomie et la fonction.",,
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,key_19440,"dd8e7076-9de9-4062-87df-c72e2a80cf6a
0020855d-13ef-4af7-be4c-0c5a21849b71",skill/competence,cross-sector,installer une pompe à chaleur,,"Installer des pompes à chaleur, qui utilisent les propriétés physiques de substances appelées frigorigènes pour extraire la chaleur d’un environnement et la libérer dans un environnement plus chaud, à l’encontre du flux de chaleur spontané. Créer les ouvertures nécessaires, et installer les parties intérieures et extérieures de la pompe à chaleur. Brancher l’électricité et les conduits éventuels, et configurer la pompe à chaleur.",,
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,key_19441,"0d41550a-3a2f-48d0-80ee-4cec090f6a19
f6cac93a-45b9-49f5-bc34-da12dae5c0bd",skill/competence,sector-specific,concevoir des installations de biomasse,,"Concevoir le système énergétique issu de la biomasse. Déterminer les limites en matière de construction telles que l’espace et le poids nécessaires. Calculer des indicateurs tels que la puissance, le débit et les températures. Réaliser des descriptions et des dessins détaillés du modèle.
	",,
http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,key_19442,"80ff5f83-3ad0-44f6-9c44-7e446db01604
4e797987-7b2f-40c3-8f84-ee4ce36dff21",skill/competence,occupation-specific,manipuler des équipements lors du travail en suspension,,"Utiliser les équipements manuels en toute sécurité lors du travail en suspension. Prendre une position sûre et stable avant de commencer l’opération. Après avoir terminé, ranger l’équipement en toute sécurité, généralement en l’attachant à une boucle de ceinture.",,
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,key_19443,"61e2a160-a101-4d3c-9c03-5f4db6c360c5
08b4f04d-901f-4522-b20c-543737c5dde2",skill/competence,cross-sector,enseigner l’économie domestique,,Enseigner l’entretien ménager ainsi que les compétences manuelles visant à améliorer les tâches quotidiennes et les circonstances de la vie.,,
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,key_19444,"501152e1-16f7-4799-921a-96e56a0ddbcd
a6a3685c-069b-46f3-8674-7c695b483d03",skill/competence,sector-specific,vérifier les locomotives,,S’assurer que les locomotives sont conformes à la réglementation avant de commencer un voyage.,,
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,key_19445,"eb3ea571-74ca-49fe-b1d7-d7079b975a1b
006be936-0042-4caa-985a-a64a1354d417",skill/competence,cross-sector,influencer des politiques publiques,,"Communiquer avec des décideurs politiques et leur transmettre des données afin de les convaincre de modifier la législation ou d’allouer des fonds à une certaine cause.
	",,
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,key_19446,"e693a0c3-8a97-4aaf-a1fd-50d2cfb0fd82
e30aaf8b-9ead-48f2-99e4-8586151b8021",knowledge,sector-specific,gestion des risques d’entreprise,,"Une stratégie d’entreprise planifiée qui vise à recenser et évaluer les dangers, les risques, et autres catastrophes potentielles, physiques ou non, susceptibles de perturber les activités et les objectifs d’une organisation, et à s’y préparer.
	",,
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,key_19447,"9c482e8c-f94d-4e56-9780-d4089e9178d6
381db943-a973-4a3d-9cf6-c33958e84c84",skill/competence,sector-specific,fabriquer des ingrédients,,"Fabriquer des ingrédients tels que des épices, des additifs et des légumes.",,
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,key_19448,"3680c337-ce40-4946-ada3-af25d0d2b74c
d0d49e02-ca55-4019-a9a8-6642c2537ee6",skill/competence,occupation-specific,entretenir des bassins d’aquaculture,,"Nettoyer l’équipement et les outils de traitement. Vidanger et nettoyer les étangs d’aquaculture à l’aide de brosses, de produits chimiques et d’eau. Préparer des récipients de rétention pour les poissons et changer les filets. Effectuer des traversées en eaux vives. Stocker les poissons dans des unités de rétention. Recueillir les poissons morts dans les unités de rétention.",,
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,key_19449,"b5154cfe-de76-40b2-b7da-427a5c5f6441
d46574e1-5b3f-413d-bf8c-bb92ed32c0c4",skill/competence,cross-sector,appliquer la politique relative au risque de crédit,,Mettre en œuvre les politiques et procédures de l’entreprise dans le processus de gestion du risque de crédit. Maintenir en permanence le risque de crédit de l’entreprise à un niveau gérable et prendre des mesures pour éviter les défaillances de crédit.,,
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,key_19450,"05d01fdb-efb4-411a-b61b-be4b9089a590
eddd1446-7cf7-4d12-9aa6-c345784e5451",skill/competence,occupation-specific,traiter les demandes des clients concernant le fret,,"Répondre aux demandes des utilisateurs et des clients du port dans le domaine des conteneurs, des arrangements maritimes ou du fret.",,
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,key_19451,"673fb402-0b1a-447d-97e9-dd019e0f90d4
e072379f-6fd3-4196-a813-ed5d1e7bec93",skill/competence,cross-sector,rédiger des documents scientifiques ou articles universitaires et des documents techniques,,"Rédiger et éditer des textes scientifiques, universitaires ou techniques sur différents sujets.
    ",,
