ESCOURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/0361c099-da6c-404e-984b-a8b8a0c017d1,key_19578,4ff79874-9888-4a0c-97fc-ef3bd415218f,skill/competence,sector-specific,check sensorial parameters of oils and fats,"check sensorial parameters of oil and fat
test sensorial parameters of oils and fats
check sensorial parameters of oils and fats
check the sensorial parameters of oils and fats
assess sensorial parameters of oils and fats
audit sensorial parameters of oils and fats
check of sensorial parameters of oils and fats","Check sensorial parameters of olive oils, seed oils and edible fats such as taste, smell and touch.",,
http://data.europa.eu/esco/skill/0377c027-2839-4b30-9acb-bb68daf925f5,key_19579,115cf828-4648-4a56-947a-1a42ec736b39,skill/competence,occupation-specific,maintain coquille parts,"repair coquilles
coquille parts maintenance
coquille part maintenance
maintaining of coquille parts
coquille repairs
maintaining coquille parts
maintenance of coquille parts
repairing coquilles
coquille repair
maintain coquille parts",Carry out minor repair tasks and maintenance of coquilles and coquille parts.,,
http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,key_19580,93544bc1-22dd-4a81-a548-3ff8019ac8eb,skill/competence,transversal,understand spoken Hungarian,"understanding spoken Hungarian
make sense of spoken Hungarian
understand spoken Hungarian
interpret spoken Hungarian
understand Hungarian speech
listen to Hungarian
comprehend spoken Hungarian",Comprehend orally expressed Hungarian.,,
http://data.europa.eu/esco/skill/037c8da7-6a0d-42b8-b979-c4abe7c92d48,key_19581,0157ff6c-c66f-4798-8779-43cc31be393a,skill/competence,occupation-specific,schedule maintenance of airport electrical systems,"schedule maintenance for electrical systems used in airports
arrange maintenance schedules for airport electrical systems
create airport electrical system maintenance schedules
arrange maintenance of airport electrical systems
organise maintenance for electrical systems used in airports
schedule maintenance for airport electrical systems
develop airport electrical systems maintenance schedule
perform airport electrical systems maintenance scheduling
organise maintenance of airport electrical systems
schedule maintenance of airport electrical systems
organise maintenance for airport electrical systems
carry out maintenance scheduling for airport electrical systems",Schedule maintenance for each individual element of an airport electrical system. Set the frequency for maintenance of the different elements while monitoring overall airport operations.,,
http://data.europa.eu/esco/skill/038256f5-7b18-4e6f-8314-2401be1b601b,key_19582,0beb2f86-7e24-4055-afa3-4ed500718853,skill/competence,occupation-specific,provide pre-hospital emergency care of trauma,"provide prehospital emergency care of trauma
provide pre-hospital emergency trauma care
manage pre-hospital emergency care of trauma
provide pre-hospital emergency care of trauma
manage pre-hospital emergency trauma care, apply prehospital emergency trauma management","Provide pre-hospital emergency medical care of simple and multiple system trauma, controlling haemorrhage, treating shock, bandaged wounds and immobilising painful, swollen, or deformed extremities, neck, or spine.",,
http://data.europa.eu/esco/skill/038a6d0f-787f-4f71-aac6-bd54e16c57cf,key_19583,c97c17b7-5490-4fd3-9a76-a7f2b3381262,knowledge,sector-specific,history of tobacco,"history regarding tobacco
history of tobacco
norms of tobacco
the history of tobacco
traditions of tobacco
yesteryear of tobacco
tobacco history
past of tobacco","The different stages and developments of tobacco cultivation, cultural particularities and trading through time. ",,
http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8,key_19584,d8c841bc-2769-41a5-96b2-36ae4ad0164e,skill/competence,cross-sector,carry out event management,"make event management
carry out event management
undertake event management
complete event management
oversee event management",Plan and execute all the technical and logistical aspects required for an event to be successful.,,
http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,key_19585,97dddda2-da97-4b80-b8b8-3de9b28c826c,skill/competence,transversal,understand spoken Welsh,"understand Welsh speech
make sense of spoken Welsh
understanding spoken Welsh
listen to Welsh
comprehend spoken Welsh
interpret spoken Welsh
understand spoken Welsh",Comprehend orally expressed ​Welsh.,,
http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,key_19586,a53b2331-9e2a-4bf4-9702-abd7c64ff152,skill/competence,sector-specific,manage ICT data classification,manage ICT data classification,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.,,
http://data.europa.eu/esco/skill/03aa85d2-9a67-455f-b901-595e685afdd2,key_19587,f933cc71-0633-4d12-b450-02a1ff97920d,skill/competence,sector-specific,keep sheet records,"preserve sheet records
keeping sheet records
conserve sheet records
maintain sheet records
save sheet records
keep sheet record
keep sheet records",Record numbers of a specific sheet cut sequence by placing serial numbers on stock cut and issued revenue stamps.,,
http://data.europa.eu/esco/skill/03af6b34-0137-4337-8a7f-521dbef4925f,key_19588,db5d70e0-3b3b-4e58-a288-bb29ebe81442,skill/competence,sector-specific,brush rubber cement,"apply rubber cement
rubber cement brushing
applying rubber cement
brushing rubber cement
brush rubber cement
rubber cement applying",Brush rubber cement on closures and valves or on the sides of the already processed rubber plies.,,
http://data.europa.eu/esco/skill/03b9453e-d14d-46bc-baf5-f6a6fbaa3bb7,key_19589,1500f48d-434b-4c9c-a2d4-75e29283c675,skill/competence,sector-specific,develop leather goods collection,"develop leather goods collection
create prototype and final leather products
develop leather products collection
develop leather goods
create prototype and final leather goods
create leather goods collection
develop leatherwear collection","Transform leather goods design ideas and concepts into prototypes and, finally, a collection. Analyse and check the designs from various angles like functionality, aesthetics, performance and manufacturability. Manage the development process of all the leather goods prototypes in order to meet the customer’s needs and to properly balance quality with production costs.",,
http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,key_19590,516cec89-fc49-4916-b372-9c87e4eb6aa3,skill/competence,cross-sector,create solutions to problems,"create solutions to problems
create solution to problems
conceive  solutions to problems
creating solutions to problems
devise solutions to problems
formulate solutions to problems
come up with solutions to problems
create solutions","Solve problems which arise in planning, prioritising, organising, directing/facilitating action and evaluating performance. Use systematic processes of collecting, analysing, and synthesising information to evaluate current practice and generate new understandings about practice.",,
http://data.europa.eu/esco/skill/03bc5f23-4317-41c2-9528-2db5c3c87b85,key_19591,6f916152-b4ee-41d5-b6c5-cc8e19c205c9,skill/competence,cross-sector,analyse cultural trends,"review cultural trends
evaluate cultural trends
study cultural trends
examine cultural trends
analyze  cultural trends
analysing cultural trends
analyse cultural trend
analyse trends in culture","Keep up to date with popular cultural trends such as pop culture, cultural and social slang.",,
http://data.europa.eu/esco/skill/03bc85d5-78f0-4409-86ed-87dc35345760,key_19592,8cbfbd2b-ffa3-472b-80de-2218de3add8f,skill/competence,sector-specific,assess cage water quality,"assess cage water quality
cage water quality checking
check cage water quality
checking cage water quality
assessing cage water quality
assessing water quality in cage
checking water quality in cage
cage water quality assessing","Analyse the quality of water by monitoring the state of temperature and oxygen, among other parameters.",,
http://data.europa.eu/esco/skill/03ca6934-62ac-42e8-aca0-9e7c10bb1684,key_19593,dcc8daaa-f9ce-4e83-bb27-8b30726c7d1f,skill/competence,sector-specific,understand the architecture of a live performance,"understand the structure of a live performance
understand the architecture of a live performance
understand a live performance's architecture
observe the choreographic structure during a live performance
understand the architecture of a performance that is live","Identify the choreographic structure of a live performance work. Be aware of sequences, sections, parts and rhythmic structure.",,
