ESCOURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,key_19422,efa91a76-692b-450a-9c3d-b89887a1ec2b,skill/competence,sector-specific,manage musical staff,"manage staff of music
coordinate duties of musical staff
manage music staff
direct musical staff
manage musical staff","Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching.",,
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,key_19423,cfd59b34-2875-42af-8139-b41df58c0167,skill/competence,occupation-specific,supervise correctional procedures,"oversee prison procedures
manage correctional procedures
monitor correctional procedures
manage prison procedures
monitor prison procedures
supervise correctional procedures
oversee correctional procedures","Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facility's efficiency and safety.",,
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,key_19424,c1b62c12-5b90-4f33-a5d4-cc55230f7c21,skill/competence,sector-specific,apply anti-oppressive practices,"apply non-oppressive practices
apply an anti-oppressive practice
make use of anti-oppressive practices
act in a non-oppressive way
identify oppression in societies and groups
apply anti-oppressive practices
apply anti-oppresive practice
use anti-oppressive practices","Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests.",,
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,key_19425,c0ce1f4c-43f1-4633-b761-56a3c1e976ce,skill/competence,sector-specific,control compliance of railway vehicles regulations,"monitoring of compliance with railway vehicles regulations
monitoring of compliance with rolling stock regulations
checking compliance with rolling stock regulations
control compliance of regulations of rolling stock
inspection of compliance with rolling stock regulations
ensuring compliance with railway vehicles regulations
compliance controls of railway vehicles regulations
conduct controls of compliance of railway vehicles regulations
control compliance of railway vehicles regulations
control compliance of railway vehicle regulations","Inspect rolling stock, components and systems to ensure compliance with standards and specifications.",,
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,key_19426,b23ad7e0-5f85-433e-9264-fc69ba10871a,skill/competence,cross-sector,identify available services,"establish available services
identify available services
determine rehabilitation services
analyse rehabilitation services
establish rehabilitation services
determine available services
analyse available services
classify available services
classify rehabilitation services","Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them.",,
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,key_19427,f45c07c6-ccf2-4b90-9263-5a8b580e88a1,skill/competence,cross-sector,perform toxicological studies,"perform toxicological studies
apply toxicological testing methods
perform toxicological tests
perform toxicological study
carry out toxicological studies","Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body.",,
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,key_19428,5ddd917e-5bfa-4ec9-a32d-599997e91d39,skill/competence,occupation-specific,ensure coquille uniformity,"making sure coquille is uniform
ensure coquille uniformity
ensure uniformity of coquille
ensuring coquille uniformity
checking that coquille is uniform
ensuring uniformity of coquille
ensuring coquille is uniform
ensure coquille is uniform
ensuring of coquille uniformity
make sure coquille is uniform
check that coquille is uniform",Oversee uniformity of coquilles; use casting equipment and tools such as welding machines.,,
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,key_19429,b26056af-c6fe-4277-a2ec-c775d792d62e,knowledge,sector-specific,Haskell,Haskell,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.",,
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,key_19430,26664aea-9653-4dfa-9ed8-a06729f25ac0,skill/competence,transversal,show initiative,"take the initiative
give impetus
be a driving force
demonstrate sense of initiative
initiate action
show sense of initiative
show active initiative","Be proactive and take the first step in an action without waiting for what others say or do.
",,
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,key_19431,04f7b3e7-269f-4b9c-b009-6f5e574856eb,skill/competence,sector-specific,train staff to reduce food waste,"teach students food waste reduction practices
inform staff on food waste reduction practices
educate workers on food recycling methods
educate staff on food waste reduction","Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste.",,
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,key_19432,6c706d26-0ea3-403a-bdb4-df1136ab7a67,skill/competence,cross-sector,apply diplomatic principles,"utilise diplomacy principles
administer diplomacy principles
use diplomatic principles
implement diplomacy principles
apply diplomatic principles
utilise diplomatic principles
implement diplomatic principles
use diplomacy principles
administer diplomatic principles","Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise.",,
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,key_19433,98241827-ce4f-47ce-ac83-3aa6f8408974,skill/competence,sector-specific,lead police investigations,"supervise police investigations
manage police enquiries
supervise police enquiries
oversee police investigations
manage police investigations
lead police investigations
oversee police enquiries","Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff.",,
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,key_19434,bb6e5613-e7f9-4cda-b633-25d6fafb675a,skill/competence,sector-specific,handle fish harvesting waste,"dispose of waste from fish harvesting
fish harvesting waste handling
handle fish harvesting waste
fish harvesting waste disposing
handling fish harvesting waste
dispose of fish harvesting waste","Dispose of waste, blood and inferior quality fish according to site waste management procedures.",,
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,key_19435,45ab0530-5469-4baf-93e5-8219f17c1aa9,skill/competence,cross-sector,develop energy saving concepts,"developing concepts for energy saving
developing energy saving concepts
develop energy saving concepts
develop concepts for energy saving
create concepts for energy saving
creating energy saving concepts
energy saving concepts creating
create energy saving concepts
creating concepts for energy saving
energy saving concepts developing","Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.",,
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,key_19436,466fcd1c-c5f6-470e-af79-7eedb922f3f0,skill/competence,sector-specific,perform street interventions in social work,"perform street interventions in social work
do street interventions in social work
perform street-intervention in social work
perform street intervention in social-work
perform street-intervention in social-work
conduct outreach activites
carry out street interventions in social work","Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people.",,
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,key_19437,39422909-2fda-45ba-9bd3-6fd83b7d11f1,skill/competence,sector-specific,work with soloists,"collaborate with soloists
working with soloists
work with a soloist
work with soloists
communicate with solo artists",Communicate with solo artists and concert masters to discuss and prepare for performances.,,
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,key_19438,9ac6f119-6b4e-49dd-83c5-59e9e6cad244,knowledge,cross-sector,sport and exercise medicine,"sports injury treatment
sport and exercise medicine
sports medicine
exercise and sports medicine
sports injury medicine
sports and exercise medicine",Prevention and treatement of injuries or conditions resulted from a physical activity or sport.,,
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,key_19439,2de05b66-be8c-4bd3-8d76-8af5c068096c,skill/competence,sector-specific,conduct research on flora,"carry out research on flora
flora research
conduct research on flora
perform research on flora
run research on flora
research on flora","Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.",,
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,key_19440,a330575f-f862-4199-bdda-ba391f35bf5c,skill/competence,cross-sector,install heat pump,"install heat pump
installation of heat pumps
commission heat pumps
heat pump commissioning
installing heat pump
commissioning of heat pump
commission heat pump
heat pump installation
commissioning heat pump
commissioning heat pumps
installing heat pumps
installation of heat pump
commissioning of heat pumps
install heat pumps
heat pump installing","Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump.",,
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,key_19441,f51a2a8a-96c5-4b0b-89d8-58feab4af850,skill/competence,sector-specific,design biomass installations,"design biomass installation
design biomass system","Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design.",,
http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,key_19442,d76999af-acd7-47e0-b9d4-9c8d5290907f,skill/competence,occupation-specific,handle equipment while suspended,"using climbing equipment
equipment handling while suspended
handling of equipment while suspended
use climbing equipment while on a rope
use climbing equipment
using climbing equipment while on a rope
handling equipment while suspended
handle equipment while suspended","Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle.",,
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,key_19443,aeafa141-3ab2-4950-a7a0-c19f5833240c,skill/competence,cross-sector,teach housekeeping skills,"teach housekeeping skills
teach house-keeping skills
teach house keeping skills
teach domestic science skills
teach skills for housekeeping
instruct on housekeeping skills
train on housekeeping skills
teach housekeeping skill",Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.,,
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,key_19444,693f94be-d331-4daa-8bf7-982d9b4289df,skill/competence,sector-specific,check train engines,"check train engines
check engines on trains meet regulations
check locomotive engines
check engines on locomotives
ensure train engines comply with regulations
ensure compliance of train engines with regulations
perform train engine compliance activities
check engines of trains
ensure train engines meet regulatory requirements
check train engines meet regulations
check engines on trains
ensure train engines comply with applicable regulations",Ensure that train engines comply with regulations before commencing a journey.,,
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,key_19445,23cc940c-d548-420f-b1e6-eb97b28b53d6,skill/competence,cross-sector,influence public policies,lobbying for public policies,Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.,,
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,key_19446,a8c478bb-297b-4ecf-8094-b3f706c968c1,knowledge,sector-specific,enterprise risk management,ERM,"A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organization's operations and objectives. ",,
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,key_19447,966dcc44-cdc8-49a3-aaad-249662ce57e9,skill/competence,sector-specific,manufacture ingredients,"manufacture ingredients
ingredients manufacture
assemble ingredients
manufacture of ingredients
produce ingredients
construct ingredients
manufacture of an ingredient
fabricate ingredients","Manufacture ingredients such as spices, additives and vegetables.",,
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,key_19448,91830f5a-f38e-485e-93d5-9175080cdd06,skill/competence,occupation-specific,maintain aquaculture ponds,"aquaculture pond maintaining
maintaining aquaculture ponds
cleaning aquaculture ponds
aquaculture pond cleaning
aquaculture ponds maintaining
pond maintaining in aquaculture
clean aquaculture ponds
maintain aquaculture ponds
aquaculture ponds cleaning
pond cleaning in aquaculture","Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units.",,
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,key_19449,d06192a9-7806-4ae9-917d-79ad8df0a954,skill/competence,cross-sector,apply credit risk policy,"administer credit risk policy
implement credit risk policy
employ credit risk policy
applying credit risk policy
apply a credit risk policy
apply credit risk policy
utilise credit risk policy
credit risk policy application",Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.,,
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,key_19450,69585afb-1116-4e05-92ba-7058e8ddfb47,skill/competence,occupation-specific,handle customer requests related to cargo,"respond to customer freight requests
deal with customer requests related to cargo
handle customer requests related to cargo
respond to customer cargo requests
handle requests of customers related to cargo
address requests made by customers in relation to cargo
address customer requests in relation to shipments
handle customer requests related to freight
deal with requests of customers related to cargo
deal with customer requests related to freight
respond to customer requests in relation to cargo
handle requests of customers related to freight","Handle requests of port users and customers in the field of containers, shipping arrangements or cargo.",,
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,key_19451,8412c153-b2d6-4ada-886f-820421ed1e29,skill/competence,cross-sector,draft scientific or academic papers and technical documentation,,"Draft and edit scientific, academic or technical texts on different subjects.",,
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,key_19452,d5a8892d-fe70-4e81-aa8b-5d0d99a6de77,knowledge,sector-specific,Incremental development,Incremental development,The incremental development model is a methodology to design software systems and applications.,,
http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,key_19453,6e3f092f-8096-4bdc-a414-ac2fa89c8f9e,knowledge,occupation-specific,use of special equipment for daily activities,use of special equipment for daily activities,"The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs.",,
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,key_19454,e57f563f-f920-4963-8fa0-f53458262a3b,knowledge,sector-specific,sawing techniques,"sawing technologies
sawing methods
sawing technique
sawing procedures
sawing tech
sawing techniques",Various sawing techniques for using manual as well as electric saws.,,
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,key_19455,ae5431d1-9042-48dc-b029-d280b7b355d9,skill/competence,sector-specific,produce guitar components,"build guitar components
make guitar components
producing guitar components
construct guitar components
produce a guitar component
produce guitar components
erect guitar components","Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge.",,
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,key_19456,a9e37515-9d03-42b7-a272-ee496344fad3,skill/competence,sector-specific,operate agricultural machinery,"farm machinery operating
operating motorised agricultural machinery
operating agricultural machinery
operate farm machinery
operating farm machinery
motorised agricultural machinery operating
agricultural machinery operating
operating motorised farm machinery
motorised farm machinery operating
operate agricultural machinery
operate motorised agricultural machinery","Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment.",,
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,key_19457,60f3fef3-d693-477b-a9ac-54cc6b7da646,skill/competence,occupation-specific,control pyrotechnics stock,"controlling pyrotechnics stock
pyrotechnics stock controlling
manage pyrotechnics stock
control pyrotechnics stock
pyrotechnics stock managing
control stock of pyrotechnics
managing pyrotechnics stock",Check the expiration period of the stock in order to remove the already expired pyrotechnics. Place them into special metal containers for further processing.,,
http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,key_19458,a6df7753-d912-466a-aa08-ddcac8d6bcff,skill/competence,sector-specific,guarantee customer satisfaction,"to guarantee customer satisfaction
ensure customer satisfaction
provide customer satisfaction
customer satisfaction guarantee
guaranteeing customer satisfaction
guarantee customer satisfaction
promise customer satisfaction
assure customer satisfaction","Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty.",,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,key_19459,099d4502-090a-4dca-a677-0c6a58c9b4c2,skill/competence,sector-specific,manufacture wearing apparel products,"manufacture wearing apparel products
assemble wearing apparel components
manufacture clothing
manufacture clothing products
manufacture garments
assemble garment components
assemble clothing components
manufacture wearing apparel","Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets.",,
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,key_19460,b8932561-e4e1-44c6-a5a4-4fe67496975e,skill/competence,sector-specific,cure tobacco leaves,"cure a tobacco leaf
temper tobacco leaves
dry tobacco leaves
preserve tobacco leaves
smoke tobacco leaves
cure tobacco leaves
curing tobacco leaves","Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing.",,
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,key_19461,bbc32142-edca-4aae-9c0b-7efa9c9325af,skill/competence,cross-sector,develop a rehabilitation programme,"design a rehabilitation programme
compile a rehabilitation plan
develop a rehabilitation program
set up rehabilitation plan
develop rehabilitation programmes
develop rehabilitation programs",Develop a rehabilitation programme to help patients rebuild their skills and restore their confidence.,,
http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,key_19462,d5e5181c-e5f9-4d01-a54e-901ed7a08f3b,skill/competence,sector-specific,maintain inventory of cleaning supplies,"track  inventory of cleaning supplies
manage inventory of cleaning supplies
maintain inventory of cleaning supplies
maintaining inventory of cleaning supplies
maintain inventory of supplies for cleaning
maintain inventory of cleaning supply","Follow the stock of cleaning materials, order new material when the stock is empty and follow their usage to maintain a constant supply.",,
http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,key_19463,ad3acd20-3169-4b76-aa8c-286d2dbedcb2,knowledge,occupation-specific,cold vulcanisation,"using vulcanising solution
tyre repair method
cold vulcanization
use of vulcanising solution
tyre repair technique","Technique used to repair defective tyres, especially bicycle tyres, and consisting in grinding the area around the tear, applying a vulcanising solution and fixing a patch to seal the tear.",,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,key_19464,6003a1a8-a3b4-4793-be12-8ba4befd9a41,skill/competence,sector-specific,supervise housekeeping operations,"oversee housekeeping operations
supervise operations of housekeeping
supervise housekeepers' duties
coordinate housekeeping duties
supervise housekeeping operations",Oversee the day-to-day service and cleaning of rooms and public areas to ensure continuous operations.,,
http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,key_19465,e28bacc3-4398-48d4-b343-48a68093c540,skill/competence,cross-sector,act as contact person during equipment incident,"play the role of contact person during equipment damage
act as contact person during equipment incident
be the contact person during equipment incident
play the role of a contact person during investigation
engage as a contact person during investigation
take responsibility as a contact person during incident
be the contact person during investigation",Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights.,,
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,key_19466,485f450c-7293-4177-9292-a2bfab9c5f9d,skill/competence,sector-specific,manage time in landscaping,"landscaping time managing
manage time in landscaping
landscaping scheduling
schedule landscaping
managing time in landscaping
scheduling landscaping
time managing in landscaping","Plan and implement work schedules to fit in landscaping activities, which include the briefing phase where the landscape project is discussed with a client after which follow a series of sketches, plans and designs.",,
http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,key_19467,66ea3011-942c-4c3c-82b8-5e8c019718b3,skill/competence,sector-specific,advise on customs regulations,advise customers,"Give information to people regarding import and export restrictions, tariff systems and other custom-related topics.",,
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,key_19468,e5709b72-b9f4-4f6e-8f67-4b92805cbbf4,skill/competence,occupation-specific,manage university department,"manage university departments
managing university department
supervise university department
oversee university department
manage university department
coordinate university department
manages university department","Supervise and assess the university support practices, students' well-being, and teachers' performance.",,
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,key_19469,4d9f402d-6802-450b-8973-895db8d6cde1,skill/competence,sector-specific,develop terminology databases,"define terminology databases prepare terminology databases
write terminology databases
compile terminology databases
developing terminology databases
develop terminology databases
developing terminology database
draw up terminology databases
populate terminology databases
develop terminology database",Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.,,
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,key_19470,8ff5c6e5-303d-4b6a-a690-a42ffc920c6e,skill/competence,sector-specific,assess nutritional characteristics of food,"judge nutritional characteristics of food
determine nutritional characteristics of food
assess the nutritional characteristics of food
check nutritional characteristics of food
assess nutritional characteristics of food
appraise nutritional characteristics of food","Evaluate the nutritional value of food, including proportion of fats, carbohydrates, sugars, vitamins, in order to contribute to a better healthy diet. ",,
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,key_19471,cdce1e18-ed7d-4561-b199-39fd0be8e96e,skill/competence,occupation-specific,repair electric bicycles,"repair electric bicycle
repair electric bicycles
repair electric bikes
fix electric bikes
repairing electric bicycles
fix electric bicycles
repair bicycles","Inspect the functioning of the electrical components, wiring, and fuses. Check for damage and malfunctions and determine the cause. Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems. Adjust mechanical and electronic switchgear, drives, brake systems and chassis components. Check the bicycle's operating fluids and see if it needs refills or changes.",,
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,key_19472,15d35cb7-3d5f-4b94-ab96-90e363495f58,skill/competence,sector-specific,maintain sorting equipment,"maintain sorting equipment
maintaining sorting equipment
sorting equipment maintaining
maintaining of sorting equipment
sorting equipment repairing
repair sorting equipment
repairing sorting equipment",Perform routine maintenance as well as minor repairs on the equipment used for sorting waste and recyclable materials.,,
http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,key_19473,97953dbb-4080-47d0-b086-b00dcb3bd921,skill/competence,sector-specific,explain features in accommodation venue,"explain accommodation venue features
explain accommodation features at venue
explain features in guest room
brief guests on room facilities
explain features in accommodation venue",Clarify guests' accommodation facilities and demonstrate and show how to use them.,,
http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,key_19474,b1542a18-ed99-436f-95ea-5458eb4d4f52,knowledge,sector-specific,types of barley,"type of barley
a type of barley
barley types
types of barley
kinds of barley
strains of barley
varieties of barley
categories of barley","The different types of barley; their characteristics, and quality.",,
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,key_19475,830c3549-1bdd-40ad-97e1-a75f8fa7302b,knowledge,sector-specific,KDevelop,"KDevelop 4.7.0
KDevelop 4.6.0
KDevelop 4.0.0
KDevelop
KDevelop 5.0.0","The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.",,
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,key_19476,13f12b03-b26b-444c-ae1e-c86889e5a91b,skill/competence,sector-specific,purchase vehicle parts,"oversee parts purchasing
carry out part purchasing
carry out parts purchases
carry out parts purchasing
carrying out parts purchasing
make parts purchasing
undertake parts purchasing
complete parts purchasing",Order specific parts required for maintenance and repair of a wide variety of vehicles.,,
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,key_19477,b7cfe07b-5184-4a46-9a43-05de423620cd,skill/competence,cross-sector,inspect offshore constructions,"inspect offshore constructions
evaluate offshore constructions
inspect offshore construction
inspeting offshore constructions
examine offshore constructions
check offshore constructions
assess offshore constructions",Conduct regular inspections during and after the construction of offshore facilities such as oil platforms to ensure risk minimisation and compliance with regulations.,,
http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,key_19478,2fc83df2-964d-4fe4-bda8-ec7b5095a60d,skill/competence,sector-specific,transport patient to medical facility,"transport patient to medical facility
assist in patient transportation
transfer patients to medical facilities
transport patients to medical facilities
transfer patient to medical facility
transport a patient to a medical facility","Assist in lifting and carrying of the patient into the emergency vehicle for transport, and into the receiving medical facility on arrival.",,
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,key_19479,000cfcba-81d7-4e2a-9756-b3b08f1eebee,skill/competence,occupation-specific,adjust envelope cutting settings,"tweak envelope cutting settings
adjusting envelope cutting settings
change envelope cutting settings
adjust envelope cutting setting
adapt envelope cutting settings
modify envelope cutting settings
adjust envelope cutting settings","Make sure that the right window cutting and patching standard are used. Prepare this by gumming on the blank with a dry patch and on the window material during its conveyance. Adjust on the basis of window, gum, and patch position and level of evenness.",,
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,key_19480,f9eea79c-7773-449a-b4b7-eb37564ee819,skill/competence,sector-specific,prepare oils,"arrange oils
assemble oil
prepare oil
prepare, select and mix oil
assemble oils
prepare oils
arrange oil","Select the appropriate oils for the client, mix and blend them in order to create individualised compounds with specific needs and ratios for clients, keeping records of applied treatments and the blends used during the therapy.",,
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,key_19481,8009238d-bac8-4a01-b77a-99066a0abd43,skill/competence,sector-specific,purchase supplies,"pay for  supplies
acquire  supplies
gain  supplies
purchase of supplies
supplies purchasing
buy  supplies
purchase supplies
purchasing supplies",Purchase and replenish supplies; make sure that all required goods are available in stock.,,
http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,key_19482,70b802ec-2654-4330-827f-c14daef9ea9a,skill/competence,sector-specific,pursue excellence in the creation of food products,"look for excellence in the creation of food products
pursuing excellence in the creation of food products
aim for excellence in the creation of food products
pursue excellence in the creation of food products
seek excellence in the creation of food products
pursue excellence in the creation of a food product",Try to develop food products in their most qualitative form possible.,,
http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,key_19483,76276f92-f3d1-4ffe-bf22-448e27702bdf,skill/competence,sector-specific,maintain personal hygiene standards when cleaning,"maintain personal hygiene standards when cleaning
maintaining personal hygiene standards when cleaning
keep up personal hygiene standards when cleaning
maintain personal hygiene standard when cleaning
maintain personal hygiene when cleaning
sustain  personal hygiene standards when cleaning","Make sure to keep yourself clean and tidy and wear protective equipment when performing cleaning activities, as required by the health and safety procedures of the task or the organisation.",,
http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,key_19484,c80a8b2e-1422-46f0-b5cf-11242708b6ba,skill/competence,cross-sector,liaise with typists,"cooperate with typists
liaising with typists
liaise with typists
work together with typists
collaborate with typists
liaise with typist","Give instructions to typists about the addressees, the appropriate format, the number of copies required, etc. for them to type the final documents.",,
http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,key_19485,ac707432-2720-4525-a949-01e4be776387,skill/competence,sector-specific,assess railway operations,"appraise railway operations
assess railway operations
evaluate railway operations
conduct review of railway performance
conduct analysis of railway operations
analyse railway operations
conduct evaluation of railway performance
conduct study on railway operations and performance
review railway operations","Review and study existing railroad equipment, facilities, systems and processes in order to improve railway safety and efficiency, increase quality, and reduce costs.",,
http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,key_19486,c4d73c4c-29ad-4f58-a6b5-15bcb9fbc9bc,skill/competence,occupation-specific,practise extreme sports,"participate in extreme sports
practice  extreme sports
play extreme sports
practise extreme sport
practising extreme sports
engage in extreme sports","Practise action sports considered to have a high level of inherent danger and involving speed, height, a high level of physical exertion, and highly specialized gear.",,
